Question,Answer,Class
I am not able to make payment because AICTE Website is not directing to Payment Gateway.,Please check whether your application has been submitted successfully or not. If submitted then allow Popups for AICTE Website through Web browser URL.,modified
Who is Who button is not available in AICTE New Website.,Please Visit Directory on Website.,modified
Where to send the queries related to portal payment and approval related issues for the Academic Year 2018-19?,Raise a Grievance via grievance form available at http://www.facilities.aicte- india.org/ApprovalProcess/apformEmail.php.,modified
Our Institution was allotted a User ID for the approval process 2017-18 as a new Institution. Some information was uploaded but the application could not be submitted at that time. Now I want to know that the same User ID can be used forapproval process 2018-19., If you want to use existing user id then contact AICTE. Else apply afresh.,modified
What we have to do in case we face server busy message?, If you are getting Server busy message try again after sometime or try during off" peak hours.,modified
We want to change details which are non-editable / read-only?, The details which are seen non-editable cannot be changed beyond the specified schedule for uploading details; you may contact the Approval Breau.,modified
Whether Affidavit can be submitted in e-Stamp Paper?,Permissible.,modified
We want to open new Management Institution and want approval for MBA andPGDM Course in one time. Required land and infrastructure (according to AICTE norms) are available and ready withthe Society. Please confirm whether we have to pay ₹8Lakh TER Charges for both the Courses or have to pay ₹8Lakh TER Charges for individual Course?,The TER Charges is 8 Lakh for both Courses together.,modified
Is TER Charges refundable in case application for approval is rejected?,Refer APH 2018-19 Clause 1.10(j) page 33 of APH 2018-19.,modified
We have applied for New Programme (Engineering/Architecture/Management/ Pharmacy/HMCT/MCA/Arts and Crafts) with level UG/PG/Diploma as New "Institution in 2017-18. However the same was rejected and we have received Final" LOR. Can we apply again for starting New Institution in the same name?,Yes. You can apply a fresh as new Institution under Chapter I of APH 2018-19. You can use the existing User ID and apply for new Institution and required to pay TER Charges as applicable.,modified
Can a new standalone Management Institution start PGDM 120 seats and MBA 120 seats at the same time if they satisfy all the requirements of AICTE?,No. The maximum Intake allowed for an Institution offering PG Programme in Management is 180 (inclusive of MBA and PGDM).,modified
What is the last date of submission of hard copy application at Regional Office for the applications under Chapter I?,All the Institutions applying under Chapter I should submit hardcopy of the application to respective Regional Office on the date of Scrutiny.,modified
How the Mega and Metro Cities Urban Area and Rural Area have been determined?,The classification of cities has been made as per Census 2011 data.,modified
I want to know whether any applicant of the organization can be the owner of the land or else if any member of the organization can give a lease to the applicant society. Moreover does the lease agreement needed to be registered or not.,Please refer Appendix 16 page no. 129 of APH 2018-19.,modified
I would like to convert from Diploma to Degree Level and vice-versa. What to do?,Please refer Chapter I Clause 1.8 page 26 of APH 2018-19. Refer User Manuals uploaded on portal.,modified
We have 5 Diploma Courses; Can we apply for conversion of Two Diploma Courses only into Degree Courses?,Not permissible.,modified
We would like to apply for conversion of our UG Degree Courses but we don’t find the nomenclature of certain Courses in Annexure 4 A. How can we apply?,You have to continue at the same level or may opt for the closure of the Course(s).Please contact Approval Bureau for further clarification (if required).,modified
Can we convert our First and Second Shift Diploma Courses into Degree Courses?,Only First/Regular Shift Courses are eligible for conversion Second Shift Courses" shall be applied for Closure.,modified
We are having UG and PG Courses in Engineering and Technology. How can we convert our Courses into Diploma Level? ,Only UG Courses are eligible for conversion PG Courses shall be applied for closure. For the process refer Clause 1.8 page 26 of APH 2018-19.,modified
We want to apply for reduction in Intake within a Division for certain Courses. What"is the maximum number of UG and PG Courses, we can opt for reduction?" There is no limit any number of UG and PG Courses may be selected.,modified
Can we apply for reduction in Intake in Second Shift Course within a Division?,Not permissible.,modified
Can we apply for expansion/increase in Intake in Second Shift Course(s) with NBA Accredited courses?,Not permissible.,modified
The Institution has been placed under 20% reduction for 2017-18. How to get the restoration of the reduced Intake in 2018-19?,As per Clause 2.4 page 38 of APH 2018-19 you are required to apply for restoration" online on Web Portal. Refer User Manual on portal.,modified
Our Institution got approval upto the Academic Year 2015-16 and we were unable to submit application in the years 2016-17and 2017-18. We want to apply for 2018-19.,As per Clause 2.4 page 38 of APH 2018-19 you are required to apply for Break in",modified
Our Institution was given Withdrawal of Approval in 2017-18. We are not able to create 2018-19 application.,You can apply ONLY as new Institution in 2019-20.,modified
Our Institution was placed under No admission category in the previous year (2017-18). What we have to do for getting approval for the2018-19?,As per APH 2018-19 you are required to apply for 2018-19 online on Web Portal like any other institution. Your institution need not apply under Restoration category "separately. However your institution will be treated under Break-in-EOA Category"nwith applicable Fee.,modified
Our Institution was placed under Reduction in Intake with EoA category in theprevious year. We What we have to do for getting approval for the 2018-19?,As per APH 2018-19 you are required to apply for restoration online on Web Portal" by answering ring the relevant Question under Questionnaire 4.,modified
We are not able to fill online Application for EoA for 2018-19. The status of EoA shows 2017-18 open. Please enable the Institution for filling online application for EoA for 2018-19.,Contact Approval Bureau through respective Regional Office for allowing to create" application for 2018-19. Please send an email of Institution representation on the Letterhead to helpdeskab@aicte-india.org.,modified
We are an existing Institution and wish to apply for new Programme (Engineering and Technology/Architecture/ Planning/ Management / Pharmacy/ HMCT/ MCA/Arts and Crafts)in the existing Institution,NOT permissible to apply for addition of New Programme in the existing Institution as per APH 2018-19.You need to obtain new User ID and apply as New Institution having exclusive facility under Chapter I of APH 2018-19.,modified
We have unused User ID and password obtained prior to 2017-18. Can we use the same for applying for starting new Institution under Chapter I?,NO. The existing credentials cannot be used,modified
We want to apply for Conversion of Women’s Institution into Co-Ed Institution or and Change of Site under Chapter I and also for increase in Intake/addition of new Courses under Chapter II. Can we apply for all these together and how the application will be processed?,Yes. You can apply for all these together. However your application under Chapter I" will be processed first following the procedure given in APH 2018-19. Simultaneously your application for increase in Intake/ addition of new Course under Chapter II will be processed. Approval for increase in Intake /New Course will be given based on Clause 2.6 page 39 of APH 2018 -19 and subject to Nil deficiency report.,modified
We have an existing Technical Institution and wish to apply for new TechnicalInstitution in the same Campus/Site/Plot. Will the EVC conducted for all existingInstitutions including proposed new Institution?,Yes. EVC will be conducted for the proposed new Institution along with all the "existing Institutions if they are in the same site to verify the availability of exclusive" facilities for existing Institution(s) and running of the proposed new Institution.,modified
In a State if one University is merged with another University by Act of the State" "Government how to change the name of the affiliating University under Course Tab.",Select the option “Do you want to change the Affiliating University?” Then select Yes and select the name of new affiliating University from the drop down menu.Contact Approval Bureau through Regional Office along with a request letter in theletter head of the Institution enclosing copies of State Government resolution / Gazette Notification in case if the University name is Appearing/NOT appearing in the dropdown. The process is mentioned in Clause 2.18 page 52 of APH 2018-19.,modified
Name of our affiliating University does not appear in the affiliating University dropdown.,Contact Approval Bureau for inclusion of the University name in the portal even though the institution can add the University Name at their end. Send an email of scanned copy of Institution representation on the Letter head to helpdeskab@aicte- india.org.,modified
Is Integrated M.E./M.Tech Programme permitted?,Yes. Refer Clause at Page 35 Chapter II of APH 2018-19.,modified
Our Institution wants to change Name of the Course. What is the procedure?,Apply in the portal as per APH 2018-19. Just Answer the question in Questionnaire tab as “Yes” against the question Change in Name of the course. Institutions applied for Change in Name of the course will be called for Scrutiny at Regional level. The documents which are to be produced during Scrutiny in connection with change in name of course will be intimated to the applied institutions well in advance. Note: There is no need for the institution to enter New Name of the Course in the portal.,modified
When we have established our Institution in 1980 we have got the Completion"Certificate issued by the then Competent Authority but we don’t have Occupancy" Certificate for 2017. How can we apply for EoA?,Your Completion Certificate is acceptable. Structural Stability Certificate from the registered Structural Engineer is also to be submitted every ten years after the expiry of a period of thirty years from the issue of Completion Certificate.,modified
We have One Course with valid NBA accreditation. How many increase/new Course our Institution is eligible?,You can add one Division in the Course having NBA accreditation. (Total number of Divisions after expansion per Course shall not exceed THREE Divisions) or a new "Course within the Programme. However NBA accreditation can be used only once" in the valid duration of the accredited course.,modified
